Algorithm,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,R2 Score
Random Forest Regression,False,friedman_mse,10,sqrt,3,3,200,0.8788076443062943
Random Forest Regression,False,friedman_mse,10,sqrt,3,2,200,0.8788076443062943
Random Forest Regression,False,friedman_mse,10,sqrt,2,3,200,0.8774874097526797
Random Forest Regression,False,friedman_mse,10,sqrt,2,2,200,0.8774874097526797
Random Forest Regression,False,squared_error,10,sqrt,2,3,200,0.8774870293982832
Random Forest Regression,False,squared_error,10,sqrt,2,2,200,0.8774870293982832
Random Forest Regression,False,squared_error,10,sqrt,2,2,300,0.8768945210142327
Random Forest Regression,False,squared_error,10,sqrt,2,3,300,0.8768945210142327
Random Forest Regression,False,friedman_mse,10,sqrt,2,3,300,0.8768933174779062
Random Forest Regression,False,friedman_mse,10,sqrt,2,2,300,0.8768933174779062
Random Forest Regression,False,friedman_mse,12,sqrt,3,3,300,0.8763366167418601
Random Forest Regression,False,friedman_mse,12,sqrt,3,2,300,0.8763366167418601
Random Forest Regression,False,squared_error,12,sqrt,3,3,300,0.8763314104410375
Random Forest Regression,False,squared_error,12,sqrt,3,2,300,0.8763314104410375
Random Forest Regression,False,friedman_mse,12,sqrt,3,2,200,0.8760901675115289
Random Forest Regression,False,friedman_mse,12,sqrt,3,3,200,0.8760901675115289
Random Forest Regression,False,squared_error,12,sqrt,3,3,200,0.876086634445712
Random Forest Regression,False,squared_error,12,sqrt,3,2,200,0.876086634445712
Random Forest Regression,False,squared_error,12,sqrt,2,3,300,0.8725975009308201
Random Forest Regression,False,squared_error,12,sqrt,2,2,300,0.8725975009308201
Random Forest Regression,False,friedman_mse,12,sqrt,2,2,300,0.8725708595150096
Random Forest Regression,False,friedman_mse,12,sqrt,2,3,300,0.8725708595150096
Random Forest Regression,False,squared_error,12,sqrt,2,3,200,0.8716869037060208
Random Forest Regression,False,squared_error,12,sqrt,2,2,200,0.8716869037060208
Random Forest Regression,False,friedman_mse,12,sqrt,2,2,200,0.8716867394808633
Random Forest Regression,False,friedman_mse,12,sqrt,2,3,200,0.8716867394808633
