mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_binarizer__threshold,param_classifier__alpha,param_classifier__fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.022845125198364256,0.0063189457273857726,0.02090311050415039,0.002685278407848885,0.25,0.01,True,"{'binarizer__threshold': 0.25, 'classifier__alpha': 0.01, 'classifier__fit_prior': True}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.03345198631286621,0.003242806385796588,0.012476253509521484,0.0044536499737069,0.25,0.01,False,"{'binarizer__threshold': 0.25, 'classifier__alpha': 0.01, 'classifier__fit_prior': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.02377314567565918,0.004391138618261037,0.010685157775878907,0.004126178475457688,0.25,0.1,True,"{'binarizer__threshold': 0.25, 'classifier__alpha': 0.1, 'classifier__fit_prior': True}",1.0,0.9812170342313002,0.9812170342313002,0.9625730008984726,0.9625730008984726,0.9775160140519091,0.01399651391638661,12
0.014489459991455077,0.0029728611710558147,0.009382677078247071,0.001315369612854646,0.25,0.1,False,"{'binarizer__threshold': 0.25, 'classifier__alpha': 0.1, 'classifier__fit_prior': False}",1.0,0.9625730008984726,0.9812170342313002,0.9625730008984726,0.9625730008984726,0.9737872073853436,0.014963877204858499,16
0.015931463241577147,0.0014757467696549684,0.008810281753540039,0.0012627661547645766,0.25,0.5,True,"{'binarizer__threshold': 0.25, 'classifier__alpha': 0.5, 'classifier__fit_prior': True}",1.0,0.9625730008984726,0.9812170342313002,0.9625730008984726,0.9440230677615495,0.970077220757959,0.019031099188160865,17
0.01409010887145996,0.0012762745262963348,0.00793142318725586,0.000992671911276029,0.25,0.5,False,"{'binarizer__threshold': 0.25, 'classifier__alpha': 0.5, 'classifier__fit_prior': False}",0.9815691191737789,0.9625730008984726,0.9812170342313002,0.9625730008984726,0.9440230677615495,0.9663910445927147,0.013997608506981589,18
0.011081838607788086,0.00042271977416067513,0.010965538024902344,0.004957269767240606,0.25,1.0,True,"{'binarizer__threshold': 0.25, 'classifier__alpha': 1.0, 'classifier__fit_prior': True}",0.9815691191737789,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9440230677615495,0.9626810579653302,0.016712834263314866,21
0.015120363235473633,0.0035032111123298156,0.013582134246826172,0.006414422899911906,0.25,1.0,False,"{'binarizer__threshold': 0.25, 'classifier__alpha': 1.0, 'classifier__fit_prior': False}",0.9815691191737789,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9440230677615495,0.9626810579653302,0.016712834263314866,21
0.019991970062255858,0.00612110378877961,0.012483501434326172,0.00496631603189909,0.25,2.0,True,"{'binarizer__threshold': 0.25, 'classifier__alpha': 2.0, 'classifier__fit_prior': True}",0.9815691191737789,0.9440230677615495,0.9812170342313002,0.9440230677615495,0.9440230677615495,0.9589710713379457,0.018307829274946653,23
0.01875,0.008561294503066674,0.011042594909667969,0.003316303730941755,0.25,2.0,False,"{'binarizer__threshold': 0.25, 'classifier__alpha': 2.0, 'classifier__fit_prior': False}",0.9451003776585173,0.9440230677615495,0.9812170342313002,0.9255242627123332,0.9255242627123332,0.9442778010152066,0.020340299258920808,26
