mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_classifier__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.020736169815063477,0.002700882464565586,0.019443368911743163,0.0021297310866341262,0.1,auto,linear,"{'classifier__C': 0.1, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear'}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.04689216613769531,0.0016299499368937758,0.019231510162353516,0.002934363146442921,0.1,auto,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",1.0,0.9812170342313002,0.9812170342313002,1.0,0.9440230677615495,0.98129142724483,0.020439975911369968,19
0.0436823844909668,0.0014405889348574274,0.01616816520690918,0.0015839029363885256,0.1,auto,poly,"{'classifier__C': 0.1, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.48653198653198654,0.5194017229533323,0.5194017229533323,0.4778411584028083,0.5578289634893409,0.5122011108661602,0.02837290553055722,31
0.037711048126220705,0.004886837196993294,0.01254725456237793,0.003537219915221846,0.1,auto,sigmoid,"{'classifier__C': 0.1, 'classifier__gamma': 'auto', 'classifier__kernel': 'sigmoid'}",1.0,0.9625730008984726,0.9812170342313002,1.0,0.9440230677615495,0.9775626205782645,0.021770700636715157,21
0.021236467361450195,0.0023817048153384605,0.010732269287109375,0.0007410569921401451,0.1,scale,linear,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.03458037376403809,0.0025032542488811612,0.012518215179443359,0.0016801256305634276,0.1,scale,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",1.0,0.9812170342313002,0.9812170342313002,1.0,0.9440230677615495,0.98129142724483,0.020439975911369968,19
0.028647565841674806,0.002773138391495303,0.01452631950378418,0.0032538558020810096,0.1,scale,poly,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}",0.48653198653198654,0.5194017229533323,0.5194017229533323,0.4778411584028083,0.5578289634893409,0.5122011108661602,0.02837290553055722,31
0.026996374130249023,0.004848538806570378,0.011994552612304688,0.003417452473583857,0.1,scale,sigmoid,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}",1.0,0.9625730008984726,0.9812170342313002,1.0,0.9440230677615495,0.9775626205782645,0.021770700636715157,21
0.018655776977539062,0.006376122018162962,0.011587953567504883,0.0026768285173898554,1.0,auto,linear,"{'classifier__C': 1, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear'}",0.9447073575213365,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9739428853764819,0.018808455904935576,23
0.021216964721679686,0.005509361801850842,0.00810556411743164,0.0011973124523749635,1.0,auto,rbf,"{'classifier__C': 1, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.022551870346069335,0.0027583358255724726,0.007183456420898437,0.0008164262982012227,1.0,auto,poly,"{'classifier__C': 1, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.9813782567405757,0.9618260412407267,1.0,0.9810309844103142,1.0,0.9848470564783234,0.014253319016711445,13
0.01781044006347656,0.0026502688250950716,0.00867910385131836,0.0012793948063609386,1.0,auto,sigmoid,"{'classifier__C': 1, 'classifier__gamma': 'auto', 'classifier__kernel': 'sigmoid'}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.01396632194519043,0.002711966317190904,0.011262798309326172,0.0034528409406602736,1.0,scale,linear,"{'classifier__C': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",0.9447073575213365,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9739428853764819,0.018808455904935576,23
0.019852638244628906,0.003077899594117594,0.012445354461669922,0.005904911705061934,1.0,scale,rbf,"{'classifier__C': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.028866386413574217,0.0071628736749193055,0.010320138931274415,0.002211714718702116,1.0,scale,poly,"{'classifier__C': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}",0.9813782567405757,0.9618260412407267,1.0,0.9810309844103142,1.0,0.9848470564783234,0.014253319016711445,13
0.02302889823913574,0.005992861746312016,0.010785818099975586,0.004410871679150889,1.0,scale,sigmoid,"{'classifier__C': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.022559213638305663,0.007673268134456879,0.011711454391479493,0.002921425339099155,10.0,auto,linear,"{'classifier__C': 10, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear'}",0.9815691191737789,0.9625730008984726,0.9812170342313002,0.9810309844103142,0.9625730008984726,0.9737926279224677,0.009162417704739528,25
0.017866992950439455,0.0045676670849903464,0.00966033935546875,0.0030261785245797594,10.0,auto,rbf,"{'classifier__C': 10, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.027633094787597658,0.005827423692597322,0.010514974594116211,0.001028606101264314,10.0,auto,poly,"{'classifier__C': 10, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.9813782567405757,0.9810309844103142,0.9812170342313002,1.0,1.0,0.988725255076438,0.009206446785517984,9
0.015952157974243163,0.003668755865736707,0.008575153350830079,0.0010260406129743045,10.0,auto,sigmoid,"{'classifier__C': 10, 'classifier__gamma': 'auto', 'classifier__kernel': 'sigmoid'}",0.9815691191737789,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9813152377069704,0.011836177813612679,17
0.015154075622558594,0.0006522277133218751,0.00838174819946289,0.0013908520708098369,10.0,scale,linear,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",0.9815691191737789,0.9625730008984726,0.9812170342313002,0.9810309844103142,0.9625730008984726,0.9737926279224677,0.009162417704739528,25
0.014825963973999023,0.0018269091955768848,0.009069061279296875,0.0007386908581039729,10.0,scale,rbf,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.021780776977539062,0.002127545898064782,0.010508489608764649,0.0013344625828607176,10.0,scale,poly,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}",0.9813782567405757,0.9810309844103142,0.9812170342313002,1.0,1.0,0.988725255076438,0.009206446785517984,9
0.016132879257202148,0.0032051355390434904,0.007942771911621094,0.0013937221613117634,10.0,scale,sigmoid,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}",0.9815691191737789,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9813152377069704,0.011836177813612679,17
0.014923429489135743,0.002924008544093007,0.008240938186645508,0.001435886354713124,100.0,auto,linear,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'linear'}",0.9815691191737789,0.9625730008984726,0.9812170342313002,0.9810309844103142,0.9625730008984726,0.9737926279224677,0.009162417704739528,25
0.013813543319702148,0.0028436619940049187,0.0060883045196533205,0.0011130090051752286,100.0,auto,rbf,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",1.0,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9850014138722146,0.01401136637676029,11
0.019049835205078126,0.003990887487167386,0.008287954330444335,0.0029618359503949037,100.0,auto,poly,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.9815691191737789,1.0,0.9812170342313002,1.0,0.9440230677615495,0.9813618442333258,0.020440204803340502,15
0.014208364486694335,0.0027619451528147964,0.009880399703979493,0.0026180422055477742,100.0,auto,sigmoid,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'sigmoid'}",0.9629629629629629,0.9625730008984726,0.9812170342313002,0.9245283018867925,0.9625730008984726,0.9587708601756001,0.018562703476778596,29
0.015506553649902343,0.0024791319764382006,0.0077288150787353516,0.0016034512727037783,100.0,scale,linear,"{'classifier__C': 100, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",0.9815691191737789,0.9625730008984726,0.9812170342313002,0.9810309844103142,0.9625730008984726,0.9737926279224677,0.009162417704739528,25
0.016645288467407225,0.0022121834677227455,0.007840776443481445,0.0010271129236090557,100.0,scale,rbf,"{'classifier__C': 100, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",1.0,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9850014138722146,0.01401136637676029,11
0.018357133865356444,0.003753397539625967,0.008461570739746094,0.001696466434429699,100.0,scale,poly,"{'classifier__C': 100, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}",0.9815691191737789,1.0,0.9812170342313002,1.0,0.9440230677615495,0.9813618442333258,0.020440204803340502,15
0.013206195831298829,0.0036959054907933805,0.00671839714050293,0.0018351185425261622,100.0,scale,sigmoid,"{'classifier__C': 100, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}",0.9629629629629629,0.9625730008984726,0.9812170342313002,0.9245283018867925,0.9625730008984726,0.9587708601756001,0.018562703476778596,29
