mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.022420597076416016,0.0047071309722018905,0.016359376907348632,0.003188253243407562,0.01,liblinear,"{'classifier__C': 0.01, 'classifier__solver': 'liblinear'}",0.9632836299502967,0.9440230677615495,0.9812170342313002,0.9255242627123332,0.8885151763740771,0.9405126342059112,0.031987736629430774,10
0.03756699562072754,0.010842665138362094,0.014206027984619141,0.0033305213175749936,0.01,lbfgs,"{'classifier__C': 0.01, 'classifier__solver': 'lbfgs'}",1.0,0.9812170342313002,0.9812170342313002,1.0,1.0,0.9924868136925202,0.00920173639789552,2
0.02754693031311035,0.004591927957662372,0.014580869674682617,0.00268743568055962,0.1,liblinear,"{'classifier__C': 0.1, 'classifier__solver': 'liblinear'}",0.9815691191737789,0.9625730008984726,0.9812170342313002,0.9625730008984726,0.9255242627123332,0.9626912835828716,0.020400938878703458,9
0.025957441329956053,0.019831783708398144,0.007824325561523437,0.0021090265400303533,0.1,lbfgs,"{'classifier__C': 0.1, 'classifier__solver': 'lbfgs'}",1.0,1.0,0.9812170342313002,1.0,1.0,0.9962434068462601,0.0075131863074799025,1
0.010768842697143555,0.001518268766293085,0.006542778015136719,0.0010538885747608674,1.0,liblinear,"{'classifier__C': 1, 'classifier__solver': 'liblinear'}",0.9629629629629629,0.9812170342313002,0.9812170342313002,1.0,0.9625730008984726,0.9775940064648072,0.013913872565676132,5
0.01828761100769043,0.004127993366635591,0.01192774772644043,0.0036986175501578416,1.0,lbfgs,"{'classifier__C': 1, 'classifier__solver': 'lbfgs'}",0.9815691191737789,1.0,0.9812170342313002,1.0,0.9812170342313002,0.988800637527276,0.009145144888839671,3
0.02073526382446289,0.0019564075401717024,0.011821746826171875,0.002349819799086891,10.0,liblinear,"{'classifier__C': 10, 'classifier__solver': 'liblinear'}",0.9629629629629629,0.9812170342313002,0.9812170342313002,0.9812170342313002,0.9625730008984726,0.9738374133110673,0.009038994105025443,7
0.02426590919494629,0.004453999489489495,0.011573696136474609,0.002210622689550189,10.0,lbfgs,"{'classifier__C': 10, 'classifier__solver': 'lbfgs'}",0.9815691191737789,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9850718308607103,0.013993043011354199,4
0.014443683624267577,0.002855235522209034,0.0103729248046875,0.0015460035227485619,100.0,liblinear,"{'classifier__C': 100, 'classifier__solver': 'liblinear'}",0.9632836299502967,0.9812170342313002,0.9812170342313002,0.9812170342313002,0.9440230677615495,0.9701915600811495,0.01481345827064452,8
0.01438155174255371,0.0015105860593718223,0.00625452995300293,0.0005685341775098993,100.0,lbfgs,"{'classifier__C': 100, 'classifier__solver': 'lbfgs'}",0.9815691191737789,0.9812170342313002,0.9812170342313002,0.9812170342313002,0.9440230677615495,0.973848657925846,0.01491341851263988,6
