mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__fit_prior,param_discretizer__n_bins,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.073492431640625,0.017101266658136112,0.0066989421844482425,0.000589751410761379,0.01,True,5,"{'classifier__alpha': 0.01, 'classifier__fit_prior': True, 'discretizer__n_bins': 5}",0.9815691191737789,0.9810309844103142,1.0,0.9625730008984726,0.9812170342313002,0.9812780277427733,0.011836720485709997,9
0.08086605072021484,0.030993644524820983,0.007634782791137695,0.00036115470081963863,0.01,True,10,"{'classifier__alpha': 0.01, 'classifier__fit_prior': True, 'discretizer__n_bins': 10}",1.0,0.9810309844103142,1.0,0.9625730008984726,0.9812170342313002,0.9849642039080175,0.014021610440011701,5
0.07329893112182617,0.015524325526794197,0.007900238037109375,0.0008631840394945455,0.01,True,15,"{'classifier__alpha': 0.01, 'classifier__fit_prior': True, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,1.0,0.9812170342313002,0.9812170342313002,0.9886930105745829,0.009232368160397091,1
0.07028751373291016,0.009582395516719881,0.007396554946899414,0.000543494499805123,0.01,False,5,"{'classifier__alpha': 0.01, 'classifier__fit_prior': False, 'discretizer__n_bins': 5}",0.9815691191737789,1.0,1.0,0.9625730008984726,0.9812170342313002,0.9850718308607103,0.013993043011354199,3
0.06041011810302734,0.008687560792715505,0.007080554962158203,0.0004415861202469468,0.01,False,10,"{'classifier__alpha': 0.01, 'classifier__fit_prior': False, 'discretizer__n_bins': 10}",1.0,0.9810309844103142,1.0,0.9625730008984726,0.9812170342313002,0.9849642039080175,0.014021610440011701,5
0.07545242309570313,0.00864547730393742,0.0059527397155761715,0.001156938005698198,0.01,False,15,"{'classifier__alpha': 0.01, 'classifier__fit_prior': False, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,1.0,0.9812170342313002,0.9812170342313002,0.9886930105745829,0.009232368160397091,1
0.05853462219238281,0.009152482459211768,0.0061152935028076175,0.0007222876211920587,0.1,True,5,"{'classifier__alpha': 0.1, 'classifier__fit_prior': True, 'discretizer__n_bins': 5}",0.9815691191737789,0.9810309844103142,1.0,0.9625730008984726,0.9812170342313002,0.9812780277427733,0.011836720485709997,9
0.057236433029174805,0.006719314060036889,0.007103776931762696,0.00041909398228162355,0.1,True,10,"{'classifier__alpha': 0.1, 'classifier__fit_prior': True, 'discretizer__n_bins': 10}",1.0,0.9810309844103142,0.9812170342313002,0.9625730008984726,0.9812170342313002,0.9812076107542774,0.01183582656606649,11
0.06776337623596192,0.007701896167760847,0.006971406936645508,0.0005446669261703515,0.1,True,15,"{'classifier__alpha': 0.1, 'classifier__fit_prior': True, 'discretizer__n_bins': 15}",1.0,0.9810309844103142,1.0,0.9625730008984726,0.9812170342313002,0.9849642039080175,0.014021610440011701,5
0.04828810691833496,0.010462380879697121,0.006966018676757812,0.00032148025961332836,0.1,False,5,"{'classifier__alpha': 0.1, 'classifier__fit_prior': False, 'discretizer__n_bins': 5}",0.9815691191737789,1.0,1.0,0.9625730008984726,0.9812170342313002,0.9850718308607103,0.013993043011354199,3
0.06480960845947266,0.009616050019105546,0.0069830894470214845,0.0003337726045368587,0.1,False,10,"{'classifier__alpha': 0.1, 'classifier__fit_prior': False, 'discretizer__n_bins': 10}",1.0,0.9810309844103142,0.9812170342313002,0.9625730008984726,0.9812170342313002,0.9812076107542774,0.01183582656606649,11
