mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.021238279342651368,0.0017456827928620828,0.017464637756347656,0.001083748240297238,0.01,True,"{'classifier__alpha': 0.01, 'classifier__fit_prior': True}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.020541286468505858,0.0023097223695127014,0.009659481048583985,0.002421434464935131,0.01,False,"{'classifier__alpha': 0.01, 'classifier__fit_prior': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.01965012550354004,0.00453389740075529,0.007945680618286132,0.0008478833452157476,0.1,True,"{'classifier__alpha': 0.1, 'classifier__fit_prior': True}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.012242650985717774,0.004038282880101663,0.007899618148803711,0.0009037637020095419,0.1,False,"{'classifier__alpha': 0.1, 'classifier__fit_prior': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.019863653182983398,0.006984751180128326,0.010492944717407226,0.0037153785624655035,0.5,True,"{'classifier__alpha': 0.5, 'classifier__fit_prior': True}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.0173952579498291,0.006833970368462127,0.006730842590332031,0.0011602443377206704,0.5,False,"{'classifier__alpha': 0.5, 'classifier__fit_prior': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.01327052116394043,0.006687996398615373,0.00727238655090332,0.002251004575256201,1.0,True,"{'classifier__alpha': 1.0, 'classifier__fit_prior': True}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.012909412384033203,0.001529336461627552,0.010140657424926758,0.0017684308233550383,1.0,False,"{'classifier__alpha': 1.0, 'classifier__fit_prior': False}",0.9815691191737789,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9850718308607103,0.013993043011354199,8
0.013869619369506836,0.0012514553980264118,0.008772563934326173,0.0016969689093398344,2.0,True,"{'classifier__alpha': 2.0, 'classifier__fit_prior': True}",0.9815691191737789,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9850718308607103,0.013993043011354199,8
0.012469625473022461,0.00348834279679273,0.008182382583618164,0.0006670380159522233,2.0,False,"{'classifier__alpha': 2.0, 'classifier__fit_prior': False}",0.9815691191737789,0.9440230677615495,0.9812170342313002,0.9812170342313002,0.9625730008984726,0.9701198512592804,0.014935713808873015,10
0.012375116348266602,0.001614774992693924,0.008084821701049804,0.001334327255477165,5.0,True,"{'classifier__alpha': 5.0, 'classifier__fit_prior': True}",0.9815691191737789,0.9440230677615495,0.9812170342313002,0.9440230677615495,0.9625730008984726,0.9626810579653302,0.016712834263314866,11
0.011266040802001952,0.0010132231573558345,0.006239652633666992,0.000527575937448325,5.0,False,"{'classifier__alpha': 5.0, 'classifier__fit_prior': False}",0.9451003776585173,0.9255242627123332,0.9812170342313002,0.9255242627123332,0.9070350895281301,0.9368802053685228,0.02522685645431155,12
