mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.017786598205566405,0.00623527384853642,0.49921655654907227,0.011360946303039474,3,1,uniform,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.9815691191737789,0.9812170342313002,0.9625730008984726,0.9812170342313002,0.9625730008984726,0.9738298378866649,0.00919206802049383,3
0.022785234451293945,0.006213484358516244,0.5089420795440673,0.01311651685989957,3,1,distance,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.9815691191737789,0.9812170342313002,0.9625730008984726,0.9812170342313002,0.9625730008984726,0.9738298378866649,0.00919206802049383,3
0.01673736572265625,0.004808827865823369,0.4938685894012451,0.010108491010064245,3,2,uniform,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'uniform'}",1.0,0.9812170342313002,0.9625730008984726,1.0,0.9625730008984726,0.981272607205649,0.016737885901093225,1
0.014256143569946289,0.0030792275980842587,0.10912084579467773,0.19235417271996136,3,2,distance,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",1.0,0.9812170342313002,0.9625730008984726,1.0,0.9625730008984726,0.981272607205649,0.016737885901093225,1
0.013686037063598633,0.0014826030891052539,0.012355279922485352,0.002458725641303905,5,1,uniform,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.9632836299502967,0.9812170342313002,0.9625730008984726,0.9625730008984726,0.9255242627123332,0.9590341857381752,0.018210425091448188,11
0.011921405792236328,0.0016988061353497923,0.010248088836669922,0.0016016192033094087,5,1,distance,"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.9632836299502967,0.9812170342313002,0.9625730008984726,0.9625730008984726,0.9255242627123332,0.9590341857381752,0.018210425091448188,11
0.011014747619628906,0.0015001501493036252,0.00870962142944336,0.0012920631006981308,5,2,uniform,"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.9632836299502967,0.9625730008984726,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9627339467480184,0.011764994467629561,7
0.009148788452148438,0.0006424195298810614,0.009494352340698241,0.0014943398041528321,5,2,distance,"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.9632836299502967,0.9625730008984726,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9627339467480184,0.011764994467629561,7
0.009832286834716797,0.001547606717937779,0.010753965377807618,0.0018512612712325081,7,1,uniform,"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.9632836299502967,0.9812170342313002,0.9812170342313002,0.9440230677615495,0.9625730008984726,0.9664627534145838,0.013886353716377954,5
0.01215500831604004,0.0026172326275065577,0.008895349502563477,0.0011391249730239989,7,1,distance,"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.9632836299502967,0.9812170342313002,0.9812170342313002,0.9440230677615495,0.9625730008984726,0.9664627534145838,0.013886353716377954,5
0.010655069351196289,0.001470673170016591,0.011941242218017577,0.002134068362438023,7,2,uniform,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.9632836299502967,0.9625730008984726,0.9812170342313002,0.9255242627123332,0.9440230677615495,0.9553241991107905,0.018984669374781243,13
0.010820579528808594,0.0020949830826574424,0.008414459228515626,0.002035473947808364,7,2,distance,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.9632836299502967,0.9625730008984726,0.9812170342313002,0.9255242627123332,0.9440230677615495,0.9553241991107905,0.018984669374781243,13
0.008239364624023438,0.0014868710362309855,0.00755152702331543,0.0007831531533604116,9,1,uniform,"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.9815691191737789,0.9440230677615495,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9626810579653302,0.016712834263314866,9
0.011748456954956054,0.002067890565139365,0.01760067939758301,0.0022398706513945526,9,1,distance,"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.9815691191737789,0.9440230677615495,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9626810579653302,0.016712834263314866,9
0.01820979118347168,0.0037625699682699966,0.014743804931640625,0.00349537594705467,9,2,uniform,"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.9815691191737789,0.9255242627123332,0.9812170342313002,0.9070350895281301,0.9440230677615495,0.9478737146814185,0.029763319814631078,17
0.015087032318115234,0.0016893570505844852,0.012768268585205078,0.0017076910768595052,9,2,distance,"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.9815691191737789,0.9255242627123332,0.9812170342313002,0.9070350895281301,0.9440230677615495,0.9478737146814185,0.029763319814631078,17
0.012384510040283203,0.0039031761059196714,0.014237499237060547,0.002580987999004665,11,1,uniform,"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.9632836299502967,0.9255242627123332,0.9625730008984726,0.9440230677615495,0.9440230677615495,0.9478854058168403,0.014019178201257648,15
0.012117338180541993,0.0024139790188653374,0.012735319137573243,0.004080169743667324,11,1,distance,"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.9632836299502967,0.9255242627123332,0.9625730008984726,0.9440230677615495,0.9440230677615495,0.9478854058168403,0.014019178201257648,15
0.01481456756591797,0.0035536700111657416,0.012971925735473632,0.0024062203688116545,11,2,uniform,"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.9815691191737789,0.9255242627123332,0.9625730008984726,0.9070350895281301,0.9255242627123332,0.9404451470050097,0.027358072014041578,22
0.013358879089355468,0.003623469292194639,0.009518718719482422,0.0024587071931517733,11,2,distance,"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.9815691191737789,0.9255242627123332,0.9812170342313002,0.9070350895281301,0.9255242627123332,0.9441739536715751,0.031130388355776164,19
0.012825775146484374,0.003107940243837246,0.011639404296875,0.0019175284490786136,13,1,uniform,"{'classifier__n_neighbors': 13, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.9632836299502967,0.9255242627123332,0.9625730008984726,0.9255242627123332,0.9255242627123332,0.9404858837971538,0.018325546583759816,20
0.012130546569824218,0.0028207129265200373,0.009050893783569335,0.000664698776477554,13,1,distance,"{'classifier__n_neighbors': 13, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.9632836299502967,0.9255242627123332,0.9625730008984726,0.9255242627123332,0.9255242627123332,0.9404858837971538,0.018325546583759816,20
0.010951900482177734,0.0017079117441739654,0.011241292953491211,0.0011661824148410573,13,2,uniform,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.9632836299502967,0.9255242627123332,0.9625730008984726,0.9070350895281301,0.9070350895281301,0.9330902145234725,0.025281850135719888,24
0.010381984710693359,0.0011416839536366223,0.008072710037231446,0.0008275527028157594,13,2,distance,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.9632836299502967,0.9255242627123332,0.9625730008984726,0.9070350895281301,0.9255242627123332,0.9367880491603131,0.02238688863912745,23
