mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.43894405364990235,0.05698431433813085,0.030800390243530273,0.01319047391579412,gini,,sqrt,100,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.8107601642608643,0.10230920579062767,0.03763670921325683,0.01540961689373417,gini,,sqrt,200,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.9813782567405757,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9811376488405639,0.00014023273786951243,28
0.4754671573638916,0.0399205786249221,0.0370086669921875,0.007571209995996835,gini,,log2,100,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",1.0,0.9810309844103142,1.0,0.9812170342313002,0.9810309844103142,0.9886558006103858,0.00926274914909184,1
0.8647739887237549,0.032309712142939054,0.04133486747741699,0.012993566200125688,gini,,log2,200,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 200}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.5920501708984375,0.06181591251299295,0.022346305847167968,0.011727215281490061,gini,,,100,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'n_estimators': 100}",0.9447073575213365,0.9622641509433962,1.0,0.9067051129359159,0.9810309844103142,0.9589415211621926,0.031987612285585276,49
1.0398720264434815,0.09941791628431801,0.04544510841369629,0.013035896803065935,gini,,,200,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'n_estimators': 200}",0.9447073575213365,0.9622641509433962,1.0,0.9067051129359159,0.9810309844103142,0.9589415211621926,0.031987612285585276,49
0.4063085079193115,0.050445248050335026,0.03214197158813477,0.0010577594900940859,gini,10,sqrt,100,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.8166042804718018,0.1584608992506951,0.04072165489196777,0.01682411752751152,gini,10,sqrt,200,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.9813782567405757,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9811376488405639,0.00014023273786951243,28
0.43199954032897947,0.056188789001193985,0.030356884002685547,0.008450600015013363,gini,10,log2,100,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",1.0,0.9810309844103142,1.0,0.9812170342313002,0.9810309844103142,0.9886558006103858,0.00926274914909184,1
0.8933193206787109,0.06866905931688246,0.03947992324829101,0.01040037053377294,gini,10,log2,200,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.5250051498413086,0.04227338053400593,0.031651782989501956,0.010098977143097045,gini,10,,100,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'n_estimators': 100}",0.9447073575213365,0.9622641509433962,1.0,0.9067051129359159,0.9810309844103142,0.9589415211621926,0.031987612285585276,49
1.00527081489563,0.07094268219614489,0.04126300811767578,0.012045348020018009,gini,10,,200,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'n_estimators': 200}",0.9447073575213365,0.9622641509433962,1.0,0.9067051129359159,0.9810309844103142,0.9589415211621926,0.031987612285585276,49
0.42982797622680663,0.06628260679731565,0.03690319061279297,0.005298933058391254,gini,20,sqrt,100,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",1.0,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9848619974924485,0.007569344235800193,10
0.8471649169921875,0.026148735993540027,0.03667116165161133,0.007862300584568027,gini,20,sqrt,200,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.9813782567405757,0.9810309844103142,0.9810309844103142,0.9812170342313002,0.9810309844103142,0.9811376488405639,0.00014023273786951243,28
