mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01553659439086914,0.0016832966523112538,0.01085195541381836,0.0031165778584438105,gini,,,best,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9618260412407267,0.9060851711565012,0.9622641509433962,0.9401880287429766,0.026870095267405837,52
0.013439750671386719,0.0023579447989766225,0.010556983947753906,0.003389446891207941,gini,,,random,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'splitter': 'random'}",1.0,0.9625730008984726,0.9423319956543912,1.0,1.0,0.9809809993105727,0.024156850170619176,1
0.013812971115112305,0.001512202795366467,0.009825611114501953,0.0028294196658931827,gini,,sqrt,best,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'best'}",0.9265672599005933,0.9436511026939007,0.9430929532309424,0.9060851711565012,0.9236520824814534,0.9286097138926783,0.013943545831618278,65
0.00648188591003418,0.0007987726237471617,0.01024932861328125,0.0036030826174528476,gini,,sqrt,random,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'random'}",0.9259259259259259,0.9255242627123332,1.0,0.9440230677615495,0.9236520824814534,0.9438250677762523,0.029044484140733746,41
0.01143331527709961,0.0043733372196509334,0.011925077438354493,0.0028376196618465467,gini,,log2,best,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9625730008984726,0.9618260412407267,1.0,0.9251460017969452,0.9550941939724142,0.027804545711372163,28
0.008326387405395508,0.002090101292781445,0.008286094665527344,0.0020575840617150995,gini,,log2,random,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'splitter': 'random'}",0.9815691191737789,0.9436511026939007,0.9436511026939007,0.9625730008984726,0.9436511026939007,0.9550190856307909,0.01516350239994296,31
0.010182809829711915,0.0016498740104348571,0.008723115921020508,0.004008765776486688,gini,5,,best,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9618260412407267,0.9060851711565012,0.9622641509433962,0.9401880287429766,0.026870095267405837,52
0.007451057434082031,0.0017124343631928591,0.00901036262512207,0.004438413120291332,gini,5,,random,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'splitter': 'random'}",1.0,0.9625730008984726,0.9622641509433962,0.9812170342313002,0.9625730008984726,0.9737254373943284,0.015010605783815623,10
0.007896804809570312,0.002258259060633782,0.012102794647216798,0.004918241878790331,gini,5,sqrt,best,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'best'}",0.9447073575213365,0.9622641509433962,0.9236520824814534,0.9251460017969452,0.9622641509433962,0.9436067487373055,0.01694931583771824,43
0.008912277221679688,0.002736243483602294,0.006893730163574219,0.0019812231634522,gini,5,sqrt,random,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'random'}",0.9265672599005933,0.8133423180592992,0.9255242627123332,0.8699249501595574,0.8383477817440083,0.8747413145151584,0.0455683218950365,70
0.009876823425292969,0.002639153512991068,0.00791468620300293,0.0032245462770661313,gini,5,log2,best,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9625730008984726,0.9618260412407267,1.0,0.9440230677615495,0.9588696071653351,0.02457588536834671,25
0.007963180541992188,0.002064970667827111,0.006717777252197266,0.0008474716771653632,gini,5,log2,random,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'random'}",0.9056098351873,0.9622641509433962,0.9622641509433962,0.9224917640011979,0.9423319956543912,0.9389923793459364,0.022275404844422933,56
0.008427095413208009,0.002330796039576258,0.006990623474121094,0.0015138584419631441,gini,10,,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9618260412407267,0.9060851711565012,0.9622641509433962,0.9401880287429766,0.026870095267405837,52
0.006969928741455078,0.0025456381117387483,0.0075531005859375,0.00134726489954969,gini,10,,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'splitter': 'random'}",1.0,0.9625730008984726,0.9423319956543912,1.0,1.0,0.9809809993105727,0.024156850170619176,1
0.005957460403442383,0.0010703695469091489,0.0066205024719238285,0.0007450688033283008,gini,10,sqrt,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'best'}",0.9265672599005933,0.9436511026939007,0.9430929532309424,0.9060851711565012,0.9236520824814534,0.9286097138926783,0.013943545831618278,65
0.007140588760375976,0.0009089350712104383,0.009303760528564454,0.0010820697056833947,gini,10,sqrt,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'random'}",0.9068912837028781,0.9440230677615495,1.0,0.9440230677615495,0.9436511026939007,0.9477177043839756,0.029812993775736697,35
0.006958580017089844,0.001490412038793225,0.008358430862426759,0.0015612406645249867,gini,10,log2,best,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9625730008984726,0.9618260412407267,1.0,0.9251460017969452,0.9550941939724142,0.027804545711372163,28
0.0068928241729736325,0.0008842222691286533,0.009113359451293945,0.0007345571009552193,gini,10,log2,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'random'}",1.0,0.9436511026939007,0.9067051129359159,0.9440230677615495,0.9440230677615495,0.9476804702305832,0.029864032176198815,36
0.008603715896606445,0.0022337396066705894,0.008520174026489257,0.0009696960543010481,gini,20,,best,"{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9618260412407267,0.9060851711565012,0.9622641509433962,0.9401880287429766,0.026870095267405837,52
0.0071445941925048825,0.0015060494856589362,0.006416940689086914,0.0008682550592104948,gini,20,,random,"{'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'splitter': 'random'}",1.0,0.9625730008984726,0.9423319956543912,1.0,1.0,0.9809809993105727,0.024156850170619176,1
0.006490135192871093,0.0005230864200426081,0.006886625289916992,0.0006993587837034189,gini,20,sqrt,best,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'best'}",0.9265672599005933,0.9436511026939007,0.9430929532309424,0.9060851711565012,0.9236520824814534,0.9286097138926783,0.013943545831618278,65
0.00636601448059082,0.00018881444933995057,0.007411670684814453,0.0010595308071199873,gini,20,sqrt,random,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'random'}",0.9259259259259259,0.9255242627123332,1.0,0.9440230677615495,0.9236520824814534,0.9438250677762523,0.029044484140733746,41
0.00674748420715332,0.0010142834004591233,0.006739473342895508,0.0010084228229434676,gini,20,log2,best,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9625730008984726,0.9618260412407267,1.0,0.9251460017969452,0.9550941939724142,0.027804545711372163,28
0.007045364379882813,0.0006790058263792411,0.007388114929199219,0.0005025310096803108,gini,20,log2,random,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'random'}",0.9815691191737789,0.9436511026939007,0.9436511026939007,0.9625730008984726,0.9436511026939007,0.9550190856307909,0.01516350239994296,31
0.007553672790527344,0.0007104163902469547,0.006652927398681641,0.0009182525174805936,entropy,,,best,"{'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9060851711565012,0.9625730008984726,0.936503181132035,0.02488407682531334,57
0.006118869781494141,0.000660879608317795,0.005893182754516601,0.001197665990767932,entropy,,,random,"{'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'splitter': 'random'}",0.9632836299502967,0.9625730008984726,0.9622641509433962,1.0,1.0,0.9776241563584331,0.018272791259334283,4
0.007403659820556641,0.0007799289632824173,0.007767677307128906,0.0010430264431297292,entropy,,sqrt,best,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9436511026939007,0.9436511026939007,0.9402319877986004,0.01745772684653029,46
0.006839847564697266,0.0011116560272439685,0.007130193710327149,0.00033975647694103975,entropy,,sqrt,random,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'random'}",0.9265672599005933,0.9255242627123332,1.0,0.9440230677615495,0.9236520824814534,0.9439533345711858,0.028966465738326827,37
0.006870555877685547,0.0010879869249695647,0.007522010803222656,0.0011380068745437742,entropy,,log2,best,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9812170342313002,0.9618260412407267,1.0,0.9812170342313002,0.9700372071258506,0.025143485833617113,13
0.006012725830078125,0.00045001834653455924,0.006706333160400391,0.0009304855278498095,entropy,,log2,random,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'splitter': 'random'}",0.9447073575213365,0.9812170342313002,0.9812170342313002,0.9625730008984726,0.9436511026939007,0.9626731059152622,0.016567252624997492,21
0.008443260192871093,0.0009987956208999458,0.007342338562011719,0.0017278742284762521,entropy,5,,best,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9436511026939007,0.9430929532309424,0.9060851711565012,0.9625730008984726,0.9327805714821358,0.02197390498407413,63
0.0069958209991455075,0.0010981214449974036,0.007677221298217773,0.0011659108740641555,entropy,5,,random,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'splitter': 'random'}",0.9815691191737789,0.9625730008984726,0.9622641509433962,0.9812170342313002,0.9625730008984726,0.9700392612290841,0.009271705993154088,11
0.006528043746948242,0.0004675005853853264,0.006229782104492187,0.0003134578780223964,entropy,5,sqrt,best,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'best'}",0.9447073575213365,0.9810309844103142,0.9236520824814534,0.9436511026939007,0.9810309844103142,0.9548145023034639,0.022682504904752127,33
0.006280946731567383,0.0010059144194502815,0.0077114105224609375,0.001341314846074434,entropy,5,sqrt,random,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'random'}",0.9265672599005933,0.8133423180592992,0.9070350895281301,0.8699249501595574,0.8383477817440083,0.8710434798783175,0.041899809005848006,71
0.007266044616699219,0.0012740941550065587,0.006951045989990234,0.0008607510416372056,entropy,5,log2,best,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9812170342313002,0.9618260412407267,1.0,0.9812170342313002,0.9700372071258506,0.025143485833617113,13
0.007093381881713867,0.0006832466411043739,0.006410026550292968,0.0004725267279472088,entropy,5,log2,random,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'random'}",0.9056098351873,0.9070350895281301,0.8699249501595574,0.9224917640011979,0.9423319956543912,0.9094787269061154,0.02380805470242366,68
0.009079647064208985,0.001559375060022059,0.0075342655181884766,0.0008238314492093705,entropy,10,,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9060851711565012,0.9625730008984726,0.936503181132035,0.02488407682531334,57
0.007749748229980469,0.0016743353395305516,0.007202339172363281,0.000905458964416762,entropy,10,,random,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'splitter': 'random'}",0.9632836299502967,0.9625730008984726,0.9622641509433962,1.0,1.0,0.9776241563584331,0.018272791259334283,4
0.006469058990478516,0.0006876967813214644,0.006525182723999023,0.0004676744754509271,entropy,10,sqrt,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9436511026939007,0.9436511026939007,0.9402319877986004,0.01745772684653029,46
0.006126594543457031,0.00042787773941348737,0.006934738159179688,0.0009758712209668033,entropy,10,sqrt,random,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'random'}",0.9447073575213365,0.9440230677615495,0.9251460017969452,0.9440230677615495,0.9436511026939007,0.9403101195070562,0.00758973393757914,44
0.007198476791381836,0.0006751060856316507,0.007365751266479492,0.001061004920718541,entropy,10,log2,best,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9812170342313002,0.9618260412407267,1.0,0.9812170342313002,0.9700372071258506,0.025143485833617113,13
0.007404613494873047,0.0009105507802428512,0.006964206695556641,0.0009080789114216506,entropy,10,log2,random,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'random'}",0.9441347702217269,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9440230677615495,0.95519418817492,0.014856203970912503,26
0.00757894515991211,0.0007205107698963706,0.007835102081298829,0.0012026407929916093,entropy,20,,best,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9060851711565012,0.9625730008984726,0.936503181132035,0.02488407682531334,57
0.006725692749023437,0.0007086067881346662,0.006305217742919922,0.00068661697977461,entropy,20,,random,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'splitter': 'random'}",0.9632836299502967,0.9625730008984726,0.9622641509433962,1.0,1.0,0.9776241563584331,0.018272791259334283,4
0.007104349136352539,0.0006807742402781079,0.006451034545898437,0.0005018653348287017,entropy,20,sqrt,best,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9436511026939007,0.9436511026939007,0.9402319877986004,0.01745772684653029,46
0.006866645812988281,0.0010825735500494856,0.006291007995605469,0.0007266605703257364,entropy,20,sqrt,random,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'random'}",0.9265672599005933,0.9255242627123332,1.0,0.9440230677615495,0.9236520824814534,0.9439533345711858,0.028966465738326827,37
0.006273317337036133,0.0012828739154191152,0.006241846084594727,0.0006745312450816761,entropy,20,log2,best,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9812170342313002,0.9618260412407267,1.0,0.9812170342313002,0.9700372071258506,0.025143485833617113,13
0.005470561981201172,0.0007377905116667139,0.006479597091674805,0.0010719485192197586,entropy,20,log2,random,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'random'}",0.9447073575213365,0.9812170342313002,0.9812170342313002,0.9625730008984726,0.9436511026939007,0.9626731059152622,0.016567252624997492,21
0.007831001281738281,0.0006435646904089659,0.006354808807373047,0.0002612416245376883,log_loss,,,best,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9060851711565012,0.9625730008984726,0.936503181132035,0.02488407682531334,57
0.007023763656616211,0.0011810552335813505,0.005983114242553711,0.0012095804419113398,log_loss,,,random,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': None, 'splitter': 'random'}",0.9632836299502967,0.9625730008984726,0.9622641509433962,1.0,1.0,0.9776241563584331,0.018272791259334283,4
0.006218481063842774,0.0004097321721121685,0.006246614456176758,0.0008213792292563551,log_loss,,sqrt,best,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9436511026939007,0.9436511026939007,0.9402319877986004,0.01745772684653029,46
0.006095361709594726,0.0004464489696294371,0.007607412338256836,0.0015737266700658577,log_loss,,sqrt,random,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'random'}",0.9265672599005933,0.9255242627123332,1.0,0.9440230677615495,0.9236520824814534,0.9439533345711858,0.028966465738326827,37
0.0061852455139160155,0.0012740809882273295,0.006523323059082031,0.001569614133834467,log_loss,,log2,best,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9812170342313002,0.9618260412407267,1.0,0.9812170342313002,0.9700372071258506,0.025143485833617113,13
0.006767940521240234,0.0008321885173174956,0.006751155853271485,0.0016321059948502087,log_loss,,log2,random,"{'criterion': 'log_loss', 'max_depth': None, 'max_features': 'log2', 'splitter': 'random'}",0.9447073575213365,0.9812170342313002,0.9812170342313002,0.9625730008984726,0.9436511026939007,0.9626731059152622,0.016567252624997492,21
0.007784700393676758,0.0006911911375433195,0.006260108947753906,0.0007319069737530346,log_loss,5,,best,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9436511026939007,0.9430929532309424,0.9060851711565012,0.9625730008984726,0.9327805714821358,0.02197390498407413,63
0.00692291259765625,0.00035967841066825206,0.006572723388671875,0.0006888408633135413,log_loss,5,,random,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': None, 'splitter': 'random'}",0.9815691191737789,0.9625730008984726,0.9622641509433962,0.9812170342313002,0.9625730008984726,0.9700392612290841,0.009271705993154088,11
0.006636905670166016,0.0008632798953375758,0.006136941909790039,0.0009511669743679878,log_loss,5,sqrt,best,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'best'}",0.9447073575213365,0.9810309844103142,0.9236520824814534,0.9436511026939007,0.9810309844103142,0.9548145023034639,0.022682504904752127,33
0.0062957763671875,0.0008308816208937366,0.005556344985961914,0.0008735304569242055,log_loss,5,sqrt,random,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'random'}",0.9265672599005933,0.8133423180592992,0.9070350895281301,0.8699249501595574,0.8383477817440083,0.8710434798783175,0.041899809005848006,71
0.005527782440185547,0.0006286195347371506,0.006509923934936523,0.0008491115285345012,log_loss,5,log2,best,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9812170342313002,0.9618260412407267,1.0,0.9812170342313002,0.9700372071258506,0.025143485833617113,13
0.0055469036102294925,0.0006441142490515717,0.005427026748657226,0.0008180936801372549,log_loss,5,log2,random,"{'criterion': 'log_loss', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'random'}",0.9056098351873,0.9070350895281301,0.8699249501595574,0.9224917640011979,0.9423319956543912,0.9094787269061154,0.02380805470242366,68
0.007190322875976563,0.0014139970137382653,0.00617527961730957,0.0007294292113025191,log_loss,10,,best,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9060851711565012,0.9625730008984726,0.936503181132035,0.02488407682531334,57
0.006177377700805664,0.0007965963185839399,0.006423282623291016,0.0012153108941132787,log_loss,10,,random,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': None, 'splitter': 'random'}",0.9632836299502967,0.9625730008984726,0.9622641509433962,1.0,1.0,0.9776241563584331,0.018272791259334283,4
0.006155872344970703,0.0005397464393190601,0.005302858352661133,0.0010626294555625166,log_loss,10,sqrt,best,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9436511026939007,0.9436511026939007,0.9402319877986004,0.01745772684653029,46
0.005422210693359375,0.0003051468939818231,0.005960941314697266,0.0007879974762648832,log_loss,10,sqrt,random,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'random'}",0.9447073575213365,0.9440230677615495,0.9251460017969452,0.9440230677615495,0.9436511026939007,0.9403101195070562,0.00758973393757914,44
0.0065440177917480465,0.0006904701435048269,0.006111669540405274,0.000713717370303749,log_loss,10,log2,best,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9812170342313002,0.9618260412407267,1.0,0.9812170342313002,0.9700372071258506,0.025143485833617113,13
0.006052589416503907,0.0006140368670346944,0.006734323501586914,0.000963587951573774,log_loss,10,log2,random,"{'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'random'}",0.9441347702217269,0.9625730008984726,0.9812170342313002,0.9440230677615495,0.9440230677615495,0.95519418817492,0.014856203970912503,26
0.006431150436401367,0.00048167557254244486,0.005644035339355469,0.001284853958498742,log_loss,20,,best,"{'criterion': 'log_loss', 'max_depth': 20, 'max_features': None, 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9060851711565012,0.9625730008984726,0.936503181132035,0.02488407682531334,57
0.005848741531372071,0.0010851929419916219,0.005892562866210938,0.0006436587117418307,log_loss,20,,random,"{'criterion': 'log_loss', 'max_depth': 20, 'max_features': None, 'splitter': 'random'}",0.9632836299502967,0.9625730008984726,0.9622641509433962,1.0,1.0,0.9776241563584331,0.018272791259334283,4
0.004956340789794922,0.000529864157929996,0.0051838397979736325,0.00025087030541044497,log_loss,20,sqrt,best,"{'criterion': 'log_loss', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'best'}",0.9085006294308621,0.9622641509433962,0.9430929532309424,0.9436511026939007,0.9436511026939007,0.9402319877986004,0.01745772684653029,46
0.005376005172729492,0.0012334621870786935,0.005554342269897461,0.0006637319163962356,log_loss,20,sqrt,random,"{'criterion': 'log_loss', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'random'}",0.9265672599005933,0.9255242627123332,1.0,0.9440230677615495,0.9236520824814534,0.9439533345711858,0.028966465738326827,37
0.005348587036132812,0.0006165305973053303,0.005111074447631836,0.00044673286665916336,log_loss,20,log2,best,"{'criterion': 'log_loss', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'best'}",0.9259259259259259,0.9812170342313002,0.9618260412407267,1.0,0.9812170342313002,0.9700372071258506,0.025143485833617113,13
0.006523990631103515,0.0007703756483236449,0.005692863464355468,0.0005742296426138416,log_loss,20,log2,random,"{'criterion': 'log_loss', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'random'}",0.9447073575213365,0.9812170342313002,0.9812170342313002,0.9625730008984726,0.9436511026939007,0.9626731059152622,0.016567252624997492,21
