mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__fit_prior,param_classifier__norm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010817909240722656,0.0020222182797711673,0.016375303268432617,0.004097737896543634,0.01,True,False,"{'classifier__alpha': 0.01, 'classifier__fit_prior': True, 'classifier__norm': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.023251676559448244,0.001657152564886483,0.014129400253295898,0.0014935707178201209,0.01,True,True,"{'classifier__alpha': 0.01, 'classifier__fit_prior': True, 'classifier__norm': True}",0.5674510415043375,0.5547778454047474,0.6714360024049341,0.6714360024049341,0.6267716321128946,0.6183745047663696,0.049677542216833286,23
0.019936084747314453,0.003607024800717408,0.013426494598388673,0.0037541650425718504,0.01,False,False,"{'classifier__alpha': 0.01, 'classifier__fit_prior': False, 'classifier__norm': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.014268302917480468,0.003320355772662735,0.010934400558471679,0.0016014630187117284,0.01,False,True,"{'classifier__alpha': 0.01, 'classifier__fit_prior': False, 'classifier__norm': True}",0.5674510415043375,0.5547778454047474,0.6714360024049341,0.6714360024049341,0.6267716321128946,0.6183745047663696,0.049677542216833286,23
0.013440561294555665,0.0008058517416495451,0.01009373664855957,0.0013648546754450109,0.1,True,False,"{'classifier__alpha': 0.1, 'classifier__fit_prior': True, 'classifier__norm': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.012112760543823242,0.00275348621998815,0.0070629119873046875,0.0007322987593301805,0.1,True,True,"{'classifier__alpha': 0.1, 'classifier__fit_prior': True, 'classifier__norm': True}",0.6141975308641976,0.5795236622332199,0.6714360024049341,0.6714360024049341,0.6267716321128946,0.632672966004036,0.03523112805079704,21
0.010097837448120118,0.0018289231370789323,0.007115221023559571,0.003603292355125861,0.1,False,False,"{'classifier__alpha': 0.1, 'classifier__fit_prior': False, 'classifier__norm': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.013001489639282226,0.002018175636814844,0.010177898406982421,0.0026203224415562885,0.1,False,True,"{'classifier__alpha': 0.1, 'classifier__fit_prior': False, 'classifier__norm': True}",0.6141975308641976,0.5795236622332199,0.6714360024049341,0.6714360024049341,0.6267716321128946,0.632672966004036,0.03523112805079704,21
0.014907169342041015,0.00217139331265963,0.011501073837280273,0.0031752428146646387,0.5,True,False,"{'classifier__alpha': 0.5, 'classifier__fit_prior': True, 'classifier__norm': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.015199995040893555,0.00420911911008944,0.009900951385498047,0.002037966276720353,0.5,True,True,"{'classifier__alpha': 0.5, 'classifier__fit_prior': True, 'classifier__norm': True}",0.6583908045977012,0.5795236622332199,0.6929380053908356,0.6929380053908356,0.649398178269356,0.6546377311763896,0.04151501857827868,19
0.016386890411376955,0.003056264368439807,0.00998377799987793,0.0013606412994516706,0.5,False,False,"{'classifier__alpha': 0.5, 'classifier__fit_prior': False, 'classifier__norm': False}",1.0,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9887580070259545,0.014977770426010964,1
0.015490102767944335,0.003034768649358903,0.009943675994873048,0.001109378382312487,0.5,False,True,"{'classifier__alpha': 0.5, 'classifier__fit_prior': False, 'classifier__norm': True}",0.6583908045977012,0.5795236622332199,0.6929380053908356,0.6929380053908356,0.649398178269356,0.6546377311763896,0.04151501857827868,19
0.013891887664794923,0.002362445711451431,0.008914470672607422,0.0019788077354757276,1.0,True,False,"{'classifier__alpha': 1.0, 'classifier__fit_prior': True, 'classifier__norm': False}",0.9815691191737789,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9850718308607103,0.013993043011354199,7
0.012730121612548828,0.00265672290312635,0.009757566452026366,0.0016288500156762273,1.0,True,True,"{'classifier__alpha': 1.0, 'classifier__fit_prior': True, 'classifier__norm': True}",0.6583908045977012,0.6035001367240908,0.7139541923115731,0.6929380053908356,0.649398178269356,0.6636362634587113,0.03804491474944505,17
0.013285541534423828,0.0016479406822941583,0.007062339782714843,0.0017317946152330713,1.0,False,False,"{'classifier__alpha': 1.0, 'classifier__fit_prior': False, 'classifier__norm': False}",0.9815691191737789,1.0,0.9812170342313002,1.0,0.9625730008984726,0.9850718308607103,0.013993043011354199,7
0.011425495147705078,0.0011002595909947051,0.006392431259155273,0.0020967032997161856,1.0,False,True,"{'classifier__alpha': 1.0, 'classifier__fit_prior': False, 'classifier__norm': True}",0.6583908045977012,0.6035001367240908,0.7139541923115731,0.6929380053908356,0.649398178269356,0.6636362634587113,0.03804491474944505,17
0.011169910430908203,0.0008750152975588454,0.007642698287963867,0.002057879905882215,2.0,True,False,"{'classifier__alpha': 2.0, 'classifier__fit_prior': True, 'classifier__norm': False}",0.9815691191737789,0.9440230677615495,0.9812170342313002,0.9812170342313002,0.9625730008984726,0.9701198512592804,0.014935713808873015,9
0.010213518142700195,0.0005443467738651603,0.009188652038574219,0.0024893791525846163,2.0,True,True,"{'classifier__alpha': 2.0, 'classifier__fit_prior': True, 'classifier__norm': True}",0.6796621182586094,0.6267716321128946,0.7345320647207438,0.7345320647207438,0.6929380053908356,0.6936871770407655,0.040028898021749235,15
0.014206314086914062,0.0012359568973280498,0.008019685745239258,0.000327097326694654,2.0,False,False,"{'classifier__alpha': 2.0, 'classifier__fit_prior': False, 'classifier__norm': False}",0.9815691191737789,0.9440230677615495,0.9812170342313002,0.9812170342313002,0.9625730008984726,0.9701198512592804,0.014935713808873015,9
0.013672542572021485,0.0016959003727292437,0.009311819076538086,0.0015439947613034547,2.0,False,True,"{'classifier__alpha': 2.0, 'classifier__fit_prior': False, 'classifier__norm': True}",0.6796621182586094,0.6267716321128946,0.7345320647207438,0.7345320647207438,0.6929380053908356,0.6936871770407655,0.040028898021749235,15
0.012653112411499023,0.002357544886598442,0.009648561477661133,0.0017555277057914086,5.0,True,False,"{'classifier__alpha': 5.0, 'classifier__fit_prior': True, 'classifier__norm': False}",0.9451003776585173,0.9255242627123332,0.9812170342313002,0.9255242627123332,0.9070350895281301,0.9368802053685228,0.02522685645431155,11
0.012905645370483398,0.001498608986982928,0.009924602508544923,0.0011913229496731826,5.0,True,True,"{'classifier__alpha': 5.0, 'classifier__fit_prior': True, 'classifier__norm': True}",0.6796621182586094,0.649398178269356,0.7345320647207438,0.7345320647207438,0.7345320647207438,0.7065312981380394,0.03560414302010316,13
0.014433574676513673,0.002115883000360807,0.007805538177490234,0.001055439517881672,5.0,False,False,"{'classifier__alpha': 5.0, 'classifier__fit_prior': False, 'classifier__norm': False}",0.9451003776585173,0.9255242627123332,0.9812170342313002,0.9255242627123332,0.9070350895281301,0.9368802053685228,0.02522685645431155,11
